,TTA,Cabang/Site,Umur,Level,Dev,JI,JNI,JobRotation
52,TJR,Site,Produktif2,Senior,Normal,Overload,Overload,yes
53,UPG,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
54,UPG,Cabang,Produktif2,Senior,Normal,Overload,Overload,yes
55,UPG,Cabang,Produktif2,Senior,Overload,Normal,Normal,no
56,JKT,Cabang,Produktif2,Senior,Underload,Normal,Overload,no
57,JKT,Cabang,Produktif2,Senior,Overload,Underload,Overload,no
58,BKJ,Site,Produktif2,Senior,Normal,Overload,Overload,yes
59,BKJ,Site,Produktif2,Senior,Normal,Normal,Normal,no
60,BKJ,Site,Produktif2,Senior,Normal,Overload,Underload,no
61,BKJ,Site,Produktif2,Senior,Overload,Overload,Normal,yes
62,BKJ,Site,Produktif2,Senior,Normal,Overload,Overload,yes
63,SMD,Cabang,Produktif2,Senior,Underload,Normal,Underload,no
64,SMD,Cabang,Produktif2,Senior,Normal,Overload,Overload,yes
